Date,Distance (Km),Duration (HH:mm),Over speeding,Over RPM,Idle time,Acceleration,Deceleration,Total,Ranking,Target Variable,Quarter_bin,Month,Year
31/01/2022,8748.4,171.11666666666667,76,89,33,94,94,77,142,Risky,Q1_2022,1,2022
31/01/2022,6539.8,07:12:00,85,94,32,97,98,81,113,Good,Q1_2022,1,2022
31/01/2022,7539.7,04:48:00,73,100,37,100,100,80,126,Good,Q1_2022,1,2022
31/01/2022,1.2,06:00:00,100,100,91,100,100,99,5,Good,Q1_2022,1,2022
31/01/2022,6723.6,19:12:00,77,100,34,100,100,81,113,Good,Q1_2022,1,2022
31/01/2022,1779.2,97.13333333333334,97,100,74,96,99,94,7,Good,Q1_2022,1,2022
31/01/2022,2277.3,123.51666666666667,85,100,71,95,97,88,34,Good,Q1_2022,1,2022
31/01/2022,842.3,63.266666666666666,92,100,48,98,100,88,34,Good,Q1_2022,1,2022
31/01/2022,35.7,60.666666666666664,100,98,36,99,99,89,24,Good,Q1_2022,1,2022
31/01/2022,1149.3,71.51666666666667,83,100,58,97,99,87,54,Good,Q1_2022,1,2022
31/01/2022,6159.4,03:36:00,96,100,50,99,99,90,13,Good,Q1_2022,1,2022
31/01/2022,6619.4,06:00:00,88,98,51,100,100,87,54,Good,Q1_2022,1,2022
31/01/2022,9201.3,188.63333333333333,83,97,46,92,93,82,107,Good,Q1_2022,1,2022
31/01/2022,3018.5,73.23333333333333,97,97,17,100,100,85,76,Good,Q1_2022,1,2022
31/01/2022,7207.9,181.61666666666667,94,100,39,100,100,88,34,Good,Q1_2022,1,2022
31/01/2022,6513.9,14:24:00,94,100,33,100,100,86,67,Good,Q1_2022,1,2022
31/01/2022,6856,157.98333333333332,84,97,24,100,100,81,113,Good,Q1_2022,1,2022
31/01/2022,7038.5,161.28333333333333,99,97,75,100,100,95,6,Good,Q1_2022,1,2022
31/01/2022,0,0.016666666666666666,100,100,100,100,100,100,1,Good,Q1_2022,1,2022
31/01/2022,6365,146.86666666666667,87,100,30,100,100,83,100,Good,Q1_2022,1,2022
31/01/2022,5273.6,116.78333333333333,96,92,60,100,100,90,13,Good,Q1_2022,1,2022
31/01/2022,5861.8,16:48:00,95,100,19,100,100,85,76,Good,Q1_2022,1,2022
31/01/2022,6625.5,103.73333333333333,44,97,42,97,97,70,151,Risky,Q1_2022,1,2022
31/01/2022,5649.4,118.21666666666667,89,100,40,100,100,86,67,Good,Q1_2022,1,2022
31/01/2022,3645.6,15:36:00,72,84,33,99,100,76,146,Risky,Q1_2022,1,2022
31/01/2022,28.5,56.21666666666667,100,100,43,99,100,90,13,Good,Q1_2022,1,2022
31/01/2022,7329.4,173.31666666666666,91,100,34,100,99,85,76,Good,Q1_2022,1,2022
31/01/2022,6684.2,151.18333333333334,100,100,30,100,100,88,34,Good,Q1_2022,1,2022
31/01/2022,7130.3,04:48:00,91,96,31,100,100,84,86,Good,Q1_2022,1,2022
31/01/2022,6815.6,15:36:00,94,100,61,100,100,91,9,Good,Q1_2022,1,2022
28/02/2022,3930.9,97.91666666666667,93,100,10,100,100,82,123,Good,Q1_2022,2,2022
28/02/2022,3446.4,01:12:00,91,100,38,99,100,86,70,Good,Q1_2022,2,2022
28/02/2022,3165.7,83.66666666666667,96,100,18,100,99,85,92,Good,Q1_2022,2,2022
28/02/2022,1513.7,10:48:00,84,91,49,99,98,84,105,Good,Q1_2022,2,2022
28/02/2022,4050.6,97.46666666666667,99,100,33,100,100,88,39,Good,Q1_2022,2,2022
28/02/2022,4189.8,16:48:00,97,100,46,100,99,90,20,Good,Q1_2022,2,2022
28/02/2022,3679.4,80.56666666666666,90,100,45,100,100,87,55,Good,Q1_2022,2,2022
28/02/2022,3709.5,91.03333333333333,80,100,42,100,100,83,115,Good,Q1_2022,2,2022
28/02/2022,4000.5,94.76666666666667,85,98,18,100,100,81,133,Good,Q1_2022,2,2022
28/02/2022,4288.7,90.16666666666667,77,100,36,100,100,81,133,Good,Q1_2022,2,2022
28/02/2022,4182.3,105.33333333333333,97,100,28,100,100,87,55,Good,Q1_2022,2,2022
28/02/2022,4917.3,105.58333333333333,75,100,21,100,100,78,147,Risky,Q1_2022,2,2022
28/02/2022,3337.9,73.33333333333333,95,100,46,100,100,89,31,Good,Q1_2022,2,2022
28/02/2022,3112.7,84.21666666666667,91,100,26,99,100,84,105,Good,Q1_2022,2,2022
28/02/2022,32104.8,1605.5166666666667,93,94,41,100,100,86,70,Good,Q1_2022,2,2022
28/02/2022,4322.9,103.36666666666666,85,100,59,100,100,88,39,Good,Q1_2022,2,2022
28/02/2022,3078.3,72.03333333333333,88,99,45,100,99,86,70,Good,Q1_2022,2,2022
28/02/2022,5313.2,18:00:00,95,100,40,100,100,88,39,Good,Q1_2022,2,2022
28/02/2022,5353.7,09:36:00,99,100,46,100,100,90,20,Good,Q1_2022,2,2022
28/02/2022,4109.7,112.38333333333334,92,100,38,99,100,86,70,Good,Q1_2022,2,2022
